filename,name,color,size,gender,category,is_new,purchase_url
Aren 노바 나일론 백팩_Multi_M 1.png,Aren 노바 나일론 백팩,Multi,M,MALE,백팩,TRUE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%85%B8%EB%B0%94-%EB%82%98%EC%9D%BC%EB%A1%A0-%EB%B0%B1%ED%8C%A9/MMKGATA03MT001.html
Aren 노바 나일론 토트_Black_S-M 1.png,Aren 노바 나일론 토트,Black,S-M,MALE,토트백&쇼퍼백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%86%A0%ED%8A%B8%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%82%98%EC%9D%BC%EB%A1%A0-%ED%86%A0%ED%8A%B8/MMTGATA03BK001.html
Aren 노바 나일론 토트_Multi_XL 1.png,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%86%A0%ED%8A%B8%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%82%98%EC%9D%BC%EB%A1%A0-%ED%86%A0%ED%8A%B8/MMTGATA02MT001.html,Multi,XL,MALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%86%A0%ED%8A%B8%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%82%98%EC%9D%BC%EB%A1%A0-%ED%86%A0%ED%8A%B8/MMTGATA02MT001.html
Aren 노바 모노그램 ECONYL® 백팩_Black_M 1.png,Aren 노바 모노그램 ECONYL® 백팩,Black,M,MALE,백팩,TRUE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%86%A0%ED%8A%B8%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%82%98%EC%9D%BC%EB%A1%A0-%ED%86%A0%ED%8A%B8/MMTGATA02MT001.html
Aren 노바 모노그램 ECONYL® 위켄더_Black_22 1.png,Aren 노바 모노그램 ECONYL® 위켄더,Black,,MALE,트래블,FALSE,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%9F%AC%EA%B8%B0%EC%A7%80-%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-econyl%C2%AE-%EC%9C%84%EC%BC%84%EB%8D%94/MMVGATT06BK001.html
Aren 노바 모노그램 ECONYL® 크로스바디_Black_S 1.png,Aren 노바 모노그램 ECONYL® 크로스바디,Black,S,FEMALE,숄더백&크로스백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-econyl%C2%AE-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%94%EB%94%94/MMRGATA07BK001.html
Aren 노바 모노그램 ECONYL® 토트_Black_XL 1.png,Aren 노바 모노그램 ECONYL® 토트,Black,XL,MALE,토트백&쇼퍼백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%86%A0%ED%8A%B8%EB%B0%B1/aren-%EB%85%B8%EB%B0%94-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-econyl%C2%AE-%ED%86%A0%ED%8A%B8/MMTGATA01BK001.html
Aren 다이아몬드 퀼팅 레더 백팩_Black_M 1.png,Aren 다이아몬드 퀼팅 레더 백팩,Black,M,MALE,백팩,TRUE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/aren-%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C-%ED%80%BC%ED%8C%85-%EB%A0%88%EB%8D%94-%EB%B0%B1%ED%8C%A9/MMKGATA01BK001.html
Aren 다이아몬드 퀼팅 레더 크로스바디_Black_S 1.png,Aren 다이아몬드 퀼팅 레더 크로스바디,Black,S,MALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/aren-%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C-%ED%80%BC%ED%8C%85-%EB%A0%88%EB%8D%94-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%94%EB%94%94/MMRGATA05BK001.html
Aren 맥시 모노그램 레더 E_W 숄더백_Lotus_S 1.png,Aren 맥시 모노그램 레더 E/W 숄더백,Lotus,S,FEMALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/aren-%EB%A7%A5%EC%8B%9C-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%A0%88%EB%8D%94-e%2Fw-%EC%88%84%EB%8D%94%EB%B0%B1/MWSGSTA01QA001.html
